"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"2197","not-burned",637.399,2.16529,0.533327,626.708,1307.19,1.33888,67.976,"4",24.02099,30.17002,40.03449,12.39734,2.220446e-16,"0"
"2198","not-burned",698.405,2.68897,0.507344,1150.78,687.869,5.53159,2278.97,"4",22.14566,81.64167,27.61944,12.82568,2.220446e-16,"0"
"2199","not-burned",612.536,2.804,0.516183,299.403,654.832,5.53159,1096.08,"4",29.79562,37.59013,39.22891,14.81352,2.220446e-16,"0"
"2200","not-burned",623.546,1.64337,0.615533,1651.97,386.926,2.14831,1050,"4",29.66437,64.01065,35.42437,3.59215,2.220446e-16,"0"
"2201","not-burned",687.894,0.854729,0.530397,1793.59,567.915,3.09332,3249.51,"4",22.68316,33.25594,7.562495,4.309498,0.0008337031,"0"
"2202","not-burned",661.038,2.61401,0.518696,42.9918,334.398,3.09332,992.543,"4",23.18646,84.82141,6.042408,11.40005,0.0003582568,"0"
"2203","not-burned",609.115,2.49319,0.483082,4260.85,1580.79,3.15662,1759.25,"12",23.4009,73.72287,7.894728,7.470532,6.967796e-05,"0"
"2204","not-burned",654.197,0.634879,0.541545,2389.43,3252.78,1.33888,2068.08,"4",24.79737,86.1469,26.02365,16.23057,2.220446e-16,"0"
"2205","not-burned",641.997,3.1554,0.55348,875.282,965.642,8.1209,1105.32,"4",27.56118,88.2263,14.69541,6.612037,1.024899e-09,"0"
"2206","not-burned",654.935,2.61814,0.53986,1144.74,407.856,5.53159,3222.52,"4",23.96921,71.94821,38.15265,8.419259,2.220446e-16,"0"
"2207","not-burned",605.42,2.13651,0.456347,3775.58,543.808,2.71723,1392.43,"12",20.87974,87.70737,36.73585,16.26185,2.220446e-16,"0"
"2208","not-burned",631.599,1.86879,0.538026,192.265,644.877,2.13308,1836.61,"15",24.34938,58.45305,9.864653,18.11585,6.150748e-07,"0"
"2209","not-burned",604.618,2.33868,0.486046,125.342,530.91,5.53159,517.69,"4",24.17131,60.66798,0.4540294,15.78525,0.7544836,"0"
"2210","not-burned",654.865,0.643046,0.54319,310.018,455.997,3.09332,3713.26,"4",29.73622,80.52839,28.57063,8.510265,2.220446e-16,"0"
"2211","not-burned",561.187,0.157852,0.562562,1433.96,177.26,3.15662,732.124,"4",19.88939,76.00859,3.477973,14.26394,0.0134291,"0"
"2212","not-burned",652.871,2.53343,0.595302,1772.6,2133.41,1.33888,2219.39,"4",26.79052,71.02111,5.362582,6.894379,0.001928486,"0"
"2213","not-burned",585.758,1.71465,0.580341,275.282,971.367,2.71723,765.447,"4",28.23513,45.17048,35.66009,4.022417,2.220446e-16,"0"
"2214","not-burned",625.742,0.916196,0.581671,2137.95,1403.67,1.33888,1805.91,"4",29.91474,78.96237,1.84796,4.045609,0.2418712,"0"
"2215","not-burned",588.097,1.81076,0.555468,1550.09,1872.98,2.71723,2021.07,"4",24.87671,53.11953,2.432579,13.1535,0.1772521,"0"
"2216","not-burned",576.647,2.73102,0.557524,395.197,91.1994,2.13308,626.708,"3",25.81313,79.36759,5.23888,14.1379,0.000902814,"0"
"2217","not-burned",601.542,2.19282,0.553105,1247.87,1915.43,2.71723,1541.12,"4",21.33544,87.58483,28.76521,15.56726,2.220446e-16,"0"
"2218","not-burned",639.44,2.95042,0.418126,6098.47,1975.99,2.71723,1343.79,"12",28.15725,62.57269,18.57898,15.50711,7.741731e-12,"0"
"2219","not-burned",668.412,1.01127,0.540574,0,1061.82,2.13308,4350.15,"4",29.29712,69.77369,12.97796,8.01113,2.602254e-08,"0"
"2220","not-burned",644.713,2.026,0.547753,639.119,327.416,3.09332,2912.36,"4",22.19759,70.89166,1.24808,18.5762,0.2232873,"0"
"2221","not-burned",642.786,1.79469,0.527202,354.519,1256.73,5.53159,4048.65,"4",30.12533,81.20338,2.154158,5.858305,0.1758599,"0"
"2222","not-burned",663.325,0.910597,0.52613,125.342,1063.99,3.09332,2049.45,"4",29.61182,43.9668,16.28391,3.45706,1.147053e-09,"0"
"2223","not-burned",597.683,3.19742,0.62469,312.985,96.1326,5.53159,632.579,"4",24.82336,35.22985,31.88855,10.10692,2.220446e-16,"0"
"2224","not-burned",633.991,2.98878,0.518909,1444.55,2478.84,2.71723,1896.03,"4",25.27267,86.05856,26.95376,8.329236,2.220446e-16,"0"
"2225","not-burned",616.885,3.54454,0.527354,1229.97,2232.47,2.71723,1802.84,"4",20.49749,54.03293,1.771668,5.944714,0.6681861,"0"
"2226","not-burned",586.373,1.7917,0.530661,4244.01,870.518,2.71723,1721.01,"4",25.5978,78.33456,22.48545,10.38147,2.220446e-16,"0"
"2227","not-burned",590.124,3.17396,0.528538,0,334.398,1.33888,192.265,"4",26.64882,92.49384,36.84464,5.377854,2.220446e-16,"0"
"2228","not-burned",587.322,1.81676,0.466047,109.608,395.197,2.71723,1757.15,"12",23.43697,70.50402,0.8709205,13.18556,0.5712205,"0"
"2229","not-burned",565.846,1.35654,0.615053,1588.08,42.9918,3.15662,194.654,"15",25.07708,80.25948,36.16603,8.928359,2.220446e-16,"0"
"2230","not-burned",586.996,3.37902,0.516518,1246.39,1290.11,2.71723,709.039,"4",27.80571,55.791,17.01211,3.367481,2.756037e-10,"0"
"2231","not-burned",572.495,1.57193,0.577942,3115.65,177.26,2.71723,177.26,"4",23.69481,43.29841,24.22582,17.80563,2.220446e-16,"0"
"2232","not-burned",602.581,2.83956,0.497959,2840.39,515.902,2.71723,1864.33,"12",29.93181,82.9293,8.044743,5.134245,3.028524e-05,"0"
"2233","not-burned",629.434,2.39892,0.532056,3355.7,364.797,2.13308,4558.14,"4",28.06686,42.60404,29.71909,16.44173,2.220446e-16,"0"
"2234","not-burned",579.93,0.81306,0.535577,1653.09,1019.19,2.71723,1629.44,"4",25.49524,71.10639,16.72228,12.55272,6.490105e-11,"0"
"2235","not-burned",574.382,2.36663,0.448493,4535.69,155.009,1.61149,2571.79,"12",22.78147,67.95369,20.57091,5.75384,8.221257e-13,"0"
"2236","not-burned",577.943,2.82593,0.655374,911.994,125.342,2.13308,384.53,"3",29.51277,29.88168,2.707041,14.57675,0.1224558,"0"
"2237","not-burned",590.373,2.16143,0.368603,2006.39,911.994,2.61512,2352.01,"12",20.46082,36.28516,13.29071,14.12909,1.279354e-07,"0"
"2238","not-burned",582.31,0.178086,0.532578,1733.05,1144.34,2.71723,759.995,"4",25.26283,58.2949,13.86337,13.17755,7.740813e-09,"0"
"2239","not-burned",555.804,1.62761,0.578744,954.573,396.365,2.71723,67.976,"4",26.47571,36.84751,0.1098112,4.940482,0.9617088,"0"
"2240","not-burned",616.841,1.11457,0.356597,3874.63,425.597,1.61149,3381.08,"12",20.83568,36.90691,6.960911,15.23539,0.001333027,"0"
"2241","not-burned",597.232,2.25857,0.482804,237.43,765.447,3.33647,1037.61,"15",23.74725,59.17209,25.50747,10.86186,2.220446e-16,"0"
"2242","not-burned",653.522,2.86083,0.385338,2647.58,237.43,2.61512,4133.14,"12",26.80741,35.52936,41.71997,4.419143,2.220446e-16,"0"
"2243","not-burned",575.261,0.366353,0.447323,4885.29,0,1.61149,2909.66,"4",28.0646,70.10485,8.531468,9.002573,3.05745e-05,"0"
