hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
0,787.34198,2.164479971,0.684644997,395.196991,1634.25,1.961470008,3117.572266,4,2005
0,739.315979,1.526759982,0.598510027,3191.97998,705.117981,0.0123088,9490.676758,4,2005
0,733.7230225,0.912119985,0.638697982,2189.840088,1155.589966,0.0,2909.658691,4,2005
0,722.3209839,0.581149995,0.643760026,3790.22998,1117.790039,0.0,2533.964355,4,2005
0,783.0020142,1.601719975,0.658805013,2409.459961,245.0910034,0.292205989,2217.518311,4,2005
0,772.0939941,1.768229961,0.659846008,547.1959839,971.3670044,0.0123088,12603.34473,4,2005
0,773.2130127,1.142869949,0.653044999,5200.589844,1096.5,0.0,7167.198242,4,2005
0,729.9379883,1.843580008,0.603138983,838.6160278,1035.380005,1.961470008,1403.667358,4,2005
0,801.7180176,0.976761997,0.680763006,2841.530029,271.9039917,0.0123088,8959.742188,4,2005
0,703.697998,1.601050019,0.664066017,644.8770142,177.2599945,1.961470008,435.2587891,3,2005
0,715.5839844,0.935525,0.594147027,2082.550049,0.0,0.0,826.9637451,15,2005
0,813.242981,0.732720017,0.670211971,4443.990234,1085.060059,0.292205989,6095.291016,4,2005
0,825.3380127,0.255699009,0.596174002,1410.23999,1605.160034,0.0123088,11840.31934,4,2005
0,789.2919922,2.403209925,0.667208016,486.3970032,109.6080017,0.0123088,12151.28809,4,2005
0,698.0609741,0.591753006,0.610997975,407.8559875,42.9917984,1.961470008,280.2722168,4,2005
0,794.7009888,0.88904798,0.681554973,4654.25,2705.580078,0.0,3744.60791,4,2005
0,721.5900269,2.398210049,0.622906029,0.0,516.7960205,5.438560009,303.9979248,4,2005
0,755.2529907,1.472640038,0.684786022,1046.920044,2450.530029,18.78120041,3058.315674,4,2005
0,817.9970093,1.385890007,0.670228004,280.2720032,2063.610107,0.292205989,7903.302734,4,2005
0,805.8610229,0.361176997,0.624592006,1109.48999,423.4200134,0.0123088,12737.6582,4,2005
0,824.6619873,0.892937005,0.630499005,243.197998,1543.52002,0.0123088,11552.28125,4,2005
0,819.776001,1.080119967,0.666705012,4574.540039,1729.319946,0.292205989,6904.033203,4,2005
0,792.9719849,0.943951011,0.706861019,1903.329956,327.4159851,0.0123088,10447.80273,3,2005
0,820.8839722,0.588566005,0.602931976,4418.439941,2862.100098,0.0123088,12827.01953,4,2005
0,773.5839844,1.015009999,0.619036973,257.9509888,135.9519958,0.0123088,10269.95703,4,2005
0,750.4060059,1.277940035,0.650785983,1974.109985,163.7079926,6.438739777,1994.374634,4,2005
0,760.6610107,4.69907999,0.693315983,422.3269958,323.1539917,5.438560009,809.4569092,4,2005
0,730.4559937,0.185032994,0.646357,1895.790039,0.0,6.438739777,1282.568604,4,2005
0,774.776001,2.966589928,0.728235006,471.9320068,759.9949951,6.438739777,192.2651672,4,2005
0,796.809021,1.47705996,0.664949,1362.579956,993.9379883,5.438560009,2598.426514,4,2005
0,772.3889771,2.531939983,0.703333974,3421.159912,1462.349976,6.438739777,3703.538086,4,2005
0,775.9489746,2.904429913,0.627277017,85.9835968,380.9079895,6.438739777,422.3273926,4,2005
0,791.9169922,1.787230015,0.529881001,219.2160034,971.3670044,0.0,8528.103516,4,2005
0,752.7310181,1.489410043,0.490532994,1475.880005,1604.290039,1.010669947,1644.120117,15,2005
0,764.0579834,7.418280125,0.655538023,4849.509766,523.0180054,5.752769947,4038.140625,3,2005
0,748.5300293,5.971759796,0.681586981,2450.340088,1156.790039,5.752769947,894.6013794,4,2005
0,833.4730225,0.249387994,0.630227983,1091.430054,1672.26001,0.0123088,6262.652344,4,2005
0,767.9689941,1.307229996,0.60423702,2576.639893,237.4299927,6.438739777,1246.762085,4,2005
0,771.4140015,2.066450119,0.607241988,1182.469971,838.6160278,0.0,6696.309082,4,2005
0,737.8029785,5.31385994,0.688901007,85.9835968,212.798996,5.438560009,2265.549561,4,2005
0,691.934021,8.075139999,0.529003024,657.6480103,221.3139954,1.010669947,980.3638306,15,2005
0,797.0230103,0.787822008,0.629917026,625.9699707,1530.890015,0.0,5435.785156,4,2005
0,838.3610229,1.455639958,0.677843988,1375.73999,2014.660034,0.0,7375.630859,4,2005
0,723.6879883,4.280749798,0.55220902,475.8320007,954.572998,1.010669947,3028.557861,4,2005
0,833.8989868,0.804172993,0.674230993,343.9339905,231.5180054,2.381069899,5667.258301,4,2005
0,833.6350098,1.116670012,0.659658015,1241.930054,2885.580078,0.0,5531.843262,4,2005
0,831.5949707,0.91357702,0.655387998,3596.570068,2094.060059,0.0,7049.868164,4,2005
0,725.7210083,1.836680055,0.621711016,243.197998,339.8800049,1.010669947,3451.280273,4,2005
0,714.6190186,7.696640015,0.619035006,3861.850098,1931.280029,5.752769947,2883.336426,4,2005
0,758.3109741,2.400399923,0.694263995,1441.98999,1349.290039,1.010669947,5708.122559,4,2005
0,748.2269897,3.167020082,0.650946975,151.9989929,847.9310303,1.010669947,5832.483398,4,2005
0,483.5450134,0.381406009,0.517494023,1180.51001,491.1239929,5.752769947,171.9671936,15,2005
0,451.0650024,0.670810997,0.740480006,5244.379883,85.9835968,12.19499969,2383.04126,4,2005
0,732.3850098,0.75078398,0.696603,85.9835968,303.9979858,1.010669947,3404.912354,4,2005
0,681.7620239,26.53560066,0.614270985,1686.02002,60.79959869,1.010669947,1969.193237,3,2005
0,462.8659973,1.197350025,0.631666005,3927.699951,1354.410034,12.19499969,2313.981445,4,2005
0,475.5549927,3.049240112,0.615428984,457.0090027,203.9279938,7.641960144,920.0646362,4,2005
0,729.6669922,9.23225975,0.589313984,3172.22998,395.196991,1.010669947,3778.022705,4,2005
0,456.5650024,2.71371007,0.506936014,5640.370117,2472.120117,7.641960144,399.8468323,4,2005
0,721.7399902,8.293749809,0.482140988,4448.149902,257.9509888,4.453129768,3195.305908,21,2005
0,804.3270264,5.60863018,0.668259025,3052.27002,693.2219849,4.453129768,3305.199707,3,2005
1,804.6290283,0.925396025,0.3237,328.8240051,2617.209961,0.672482014,851.7368774,12,2006
1,799.3410034,1.222630024,0.403,742.1539917,1592.72998,0.292205989,346.6109619,4,2006
1,797.9790039,2.086339951,0.381,354.5190125,2339.01001,0.292205989,530.9095459,12,2006
1,751.3120117,1.550860047,0.5175,2175.22998,2059.350098,5.752769947,3288.942871,4,2006
1,725.4509888,1.338009953,0.4553,2845.590088,2868.719971,5.752769947,2094.058105,4,2006
