"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1305","not-burned",587.2020264,0.370095998,0.587673008,1386.439941,85.9835968,0.895577013,128.9750061,"4",0.152599327953921,"0"
"1306","not-burned",714.5910034,0.912203014,0.555849016,2166.929932,683.1500244,4.193270206,2934.800049,"4",0.230241628047791,"0"
"1307","not-burned",762.03302,8.822739601,0.598388016,615.5490112,464.0329895,1.533360004,366.0620117,"4",0.191488212092292,"0"
"1308","not-burned",839.3859863,0.955165029,0.440136999,1365.290039,4839.680176,1.533360004,1763.189941,"41",0.650587217513548,"0"
"1309","not-burned",754.934021,4.755179882,0.684009016,1180.51001,734.6439819,1.533360004,1069.189941,"4",0.0569483050836271,"0"
"1310","not-burned",629.2559814,1.110990047,0.679633975,3444.850098,42.9917984,3.511869907,784.5269775,"4",0.0470129630765305,"1"
"1311","not-burned",643.8980103,2.536350012,0.506645024,2713.77002,519.4719849,3.511869907,1240.069946,"15",0.180902720857717,"0"
"1312","not-burned",693.1589966,2.599760056,0.548491001,3426.689941,663.940979,4.193270206,1800.530029,"4",0.273810403756874,"1"
"1313","not-burned",682.3049927,2.205529928,0.429919004,3035.419922,694.5540161,3.156620026,3914.02002,"4",0.675494792163681,"0"
"1314","not-burned",655.8920288,1.284749985,0.492053002,30.39979935,85.9835968,1.103440046,6037.25,"15",0.185630987265284,"0"
"1315","not-burned",721.1099854,5.432479858,0.663423002,1037.609985,571.1599731,4.193270206,853.3629761,"4",0.0628033903449134,"0"
"1316","not-burned",628.9299927,2.517519951,0.477905989,709.6900024,942.3939819,2.717230082,1398.719971,"12",0.301130894704763,"0"
"1317","not-burned",687.0360107,2.305370092,0.667073011,465.0270081,615.5490112,3.156620026,2790.98999,"4",0.050731467275195,"0"
"1318","not-burned",640.7059937,2.169620037,0.524537027,759.9949951,85.9835968,3.156620026,1069.189941,"15",0.12974730327823,"1"
"1319","not-burned",675.9810181,1.426220059,0.452488005,765.4470215,926.5700073,2.717230082,2368.060059,"12",0.394446541851429,"0"
"1320","not-burned",579.3920288,0.766592026,0.633363008,859.8359985,0,0.895577013,151.9989929,"4",0.0805745762956311,"0"
