"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","Prob_fogo","HasFire_Predict"
"64","not-burned",792.3812789,4.752151223,0.510933318,1013.58347,1605.561542,2.220340014,899.2711501,"4",23.56656611,67.12443267,14.05117869,0.220843335273864,"1"
"65","not-burned",698.8996074,1.651850922,0.434588087,10074.45284,479.2228387,0.48012501,1153.196734,"4",25.62817628,34.57453212,12.53775312,0.938104879046797,"1"
"66","not-burned",805.7774135,1.263492722,0.437895544,4440.69817,1791.953735,0.48012501,13473.47878,"12",28.49397709,40.1136068,7.435740833,0.298122388815942,"0"
"67","not-burned",752.451002,2.058155253,0.408076654,955.2467061,957.9492135,0.914987391,9651.362769,"4",19.30317769,66.06208493,8.241860239,0.590004768803017,"1"
"68","not-burned",790.1092929,2.949137069,0.472461108,2833.617411,260.9446003,0.802272975,2447.624175,"4",28.75432535,41.38168642,11.85475836,0.804191138346798,"0"
"69","not-burned",729.9919508,1.503962817,0.541306655,2529.143504,276.0453169,0.802272975,7045.234488,"4",20.28391849,59.80485837,15.98482404,0.161580906722318,"0"
"70","not-burned",758.5295763,2.298216947,0.436634509,2473.628785,206.617843,2.507019997,3655.4357,"12",22.49929995,56.24011535,17.23945752,0.31718522098547,"1"
"71","not-burned",719.9832704,1.447779118,0.604001019,2839.382486,1417.666192,0.802272975,1600.868492,"4",26.49516673,64.91719851,7.371462369,0.0532954098398961,"1"
"72","not-burned",804.8407132,0.707759246,0.496245231,5351.241227,1046.498789,2.220340014,3309.154035,"4",20.99564217,80.92939853,12.00848582,0.136450979038426,"1"
"73","not-burned",740.0866015,3.062437035,0.540611112,1099.728135,717.940856,0.48012501,443.4352075,"4",26.6007497,87.02224557,7.967052907,0.0495029840363096,"0"
"74","not-burned",754.1096418,3.600239526,0.476772606,4202.060676,1262.800034,0.48012501,2444.994834,"4",22.03091911,85.1742422,18.02610698,0.132195458062376,"0"
"75","not-burned",836.0131643,1.256306664,0.468247909,2616.747724,1691.623768,0.48012501,10111.07083,"12",25.10568953,39.31545985,7.174244282,0.263020190214527,"0"
"76","not-burned",816.4501703,1.157899826,0.400932131,1762.5711,3971.446633,0.48012501,5325.907936,"4",25.71052323,48.35095677,17.43103319,0.86915355287086,"1"
"77","not-burned",673.0082961,1.846838624,0.501923323,227.3273498,960.6909308,2.220340014,411.9508677,"4",20.05768911,89.69625422,10.94187466,0.0976335145421146,"1"
"78","burned",787.3166168,3.809106524,0.317617702,4283.684561,867.1678096,0.48012501,3785.271275,"4",23.78541667,40.9702381,9.771904762,0.987563896189521,"1"
"79","burned",792.4816995,2.312964781,0.331693152,7493.62752,642.6930917,0.48012501,3832.384857,"4",27.87202381,36.36309524,9.829553571,0.988625750601639,"1"
"80","burned",716.4248419,2.081773116,0.438523168,9251.931634,485.5523094,0.48012501,1595.47176,"12",26.72619048,32.75595238,10.93133929,0.697995501621253,"1"
"81","burned",747.5891448,1.695244365,0.424301533,4416.395199,187.8732551,0.802272975,5504.680717,"4",29.61636905,35.90178571,16.61464286,0.928049181174045,"0"
"82","burned",814.1036085,1.11442478,0.229247642,986.5189382,1292.514739,1.103440046,3739.407521,"4",26.24107143,32.52380952,11.64666667,0.999157967928445,"1"
"83","burned",793.958203,0.803623802,0.228038101,4075.504355,2437.520131,0.48012501,4957.398559,"12",23.99583333,46.94642857,11.95422619,0.981107381058364,"1"
"84","burned",765.8538249,2.512239869,0.350307042,4585.860537,1523.231116,0.48012501,3889.847782,"4",23.78541667,40.9702381,9.771904762,0.976020044137378,"0"
"85","burned",771.2892641,2.118934239,0.256208197,7866.199431,277.2751798,0.48012501,4962.832948,"15",27.87202381,36.36309524,9.829553571,0.946957243070666,"0"
"86","burned",694.2376988,1.764842377,0.451369104,1161.04809,440.7495246,0.802272975,808.5819595,"4",23.69761905,37.22619048,10.4727381,0.919420305038135,"1"
"87","burned",690.3820626,1.689690178,0.816991815,503.2283954,214.8052988,0.73114143,873.8702464,"3",25.08005952,64.79761905,9.069791667,0.012714091128122,"1"
"88","burned",755.3561992,2.372358566,0.229183666,10200.47733,402.5305483,0.48012501,3119.447203,"4",26.72619048,32.75595238,10.93133929,0.998988831537917,"1"
"89","burned",617.5118055,1.995611356,0.648671077,11266.75258,253.6606716,2.302584271,595.2333593,"4",24.70297619,61.40178571,6.029761905,0.0268258618026717,"1"
