"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"239",23.44063,48.66146,0,10.66089,"not-burned",0.174580083301601,"0"
"240",24.0276,49.63542,0.002915693,12.98865,"not-burned",0.217134891053109,"1"
"241",23.74167,57.61979,0.0623403,12.6174,"burned",0.128218013800094,"1"
"242",24.1625,48.76042,0,11.94484,"not-burned",0.220044855572998,"0"
"243",25.12344,54.47396,0.002221481,12.36266,"not-burned",0.206815435495342,"1"
"244",26.06563,49.08854,0,10.97464,"not-burned",0.302672534193516,"1"
"245",26.82083,44.46354,0.07756255,10.85089,"not-burned",0.416277016606271,"0"
"246",26.00833,45.89583,0,14.87958,"not-burned",0.413325815140412,"0"
"247",24.4276,43.85417,0,14.48073,"not-burned",0.335866989141504,"1"
"248",23.92344,45.57812,0,13.56047,"burned",0.268487757407415,"1"
"249",24.14115,45.76562,0,12.38984,"not-burned",0.260807649772555,"0"
"250",24.96563,45.68229,0,11.46328,"burned",0.293580261128172,"0"
"251",25.19531,40.54167,0,9.821979,"burned",0.354365759470435,"0"
"252",25.98021,40.34375,0,9.576927,"burned",0.403999242786309,"0"
"253",26.67708,36.94792,0,12.53651,"not-burned",0.561273671519779,"0"
"254",25.31667,43.57812,0,13.7626,"not-burned",0.384122149303693,"0"
"255",24.47865,38.01562,0,13.09427,"not-burned",0.404173379158784,"0"
"256",24.31302,34.90104,0,10.33828,"burned",0.39298607430424,"0"
"257",25.18854,38.28646,0,9.756562,"not-burned",0.387279245384047,"0"
"258",26.49323,40.81771,0,8.808854,"not-burned",0.416854030371695,"0"
"259",27.59531,36.23438,0,8.609687,"not-burned",0.563105584303033,"0"
"260",28.47604,34.55208,0,9.804896,"burned",0.667268869304841,"0"
"261",27.86354,40.08333,0.00305721,14.14464,"not-burned",0.61947187035995,"0"
"262",27.30521,44.79688,0.01539928,10.73318,"not-burned",0.442596589744536,"0"
"263",27.55417,41.21875,0.00079261,9.315625,"burned",0.492029972508437,"0"
"264",27.62292,37.19792,0,7.24875,"not-burned",0.524194052685252,"0"
"265",29.36458,34.58854,0.05627531,6.924323,"burned",0.672547782354376,"0"
"266",28.02188,46.875,1.483426,13.61911,"burned",0.48449500017525,"0"
"267",25.59323,59.44271,0.9128602,9.659844,"not-burned",0.140809234335025,"1"
"268",26.2099,59.01562,1.042848,6.32099,"not-burned",0.133682229390647,"0"
"269",25.56979,61.07292,0.9729854,5.264427,"not-burned",0.0950317704853431,"1"
"270",23.84635,73.83854,7.067364,6.022656,"not-burned",0.01877920858536,"1"
"271",24.65208,72.82292,3.515791,4.778854,"burned",0.0293218728573436,"0"
"272",25.20156,69.93229,2.390625,8.52151,"not-burned",0.0574616225205652,"0"
"273",26.48385,58.01562,0.2642788,8.232448,"not-burned",0.178245089922451,"0"
"274",27.26563,48.51562,0.00022646,7.583802,"not-burned",0.327653783418999,"0"
"275",27.79479,44.375,0.1634056,8.742083,"not-burned",0.443454620463747,"1"
"276",27.70938,47.22917,0.1085023,12.48802,"burned",0.461363986536926,"0"
"277",27.16042,52.35417,0.3582353,14.91661,"not-burned",0.382331890921118,"0"
"278",25.20365,61.90625,4.239296,10.32198,"not-burned",0.0934666101543231,"0"
"279",22.64479,86.01562,12.37578,5.2125,"not-burned",0.00393008517460714,"0"
"280",24.61406,73.42708,2.020632,8.005,"not-burned",0.0391694770405778,"0"
"281",26.25,61.77083,0.07079328,7.676042,"not-burned",0.13397849109498,"0"
