"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"96","burned",1.866787779,0.278167526,1003.443239,1642.788268,1.103440046,3853.331213,"4",0.993834051916456,"0"
"97","burned",2.670430546,0.37530804,7166.888237,818.5531215,0.48012501,3426.495599,"12",0.633636647883547,"0"
"98","burned",3.078337008,0.366495847,2881.544639,2197.73762,0.48012501,2010.044266,"4",0.945684647600826,"1"
"99","burned",4.18931359,0.410479577,11035.39166,146.6815567,0.48012501,2149.208721,"4",0.881645323552328,"1"
"100","burned",2.238388512,0.576243396,440.0982881,143.1536513,1.022821031,444.2801264,"4",0.249790099923299,"0"
"101","burned",4.039432547,0.513300989,11431.95314,273.1374912,0.48012501,1570.779649,"4",0.408134905611631,"0"
"102","burned",2.625989448,0.487434818,519.1833352,252.7945831,0.802272975,359.8627473,"4",0.713785684280923,"0"
"103","burned",0.756154372,0.200789634,1241.300164,1097.594334,1.103440046,3076.923784,"12",0.993395815690094,"1"
"104","burned",2.232630844,0.338089517,5399.728504,1437.95354,0.48012501,4541.169529,"12",0.772415994036371,"1"
"105","burned",1.709521918,0.229096552,1269.63207,1844.057128,1.103440046,2087.912751,"4",0.998308199008566,"0"
"106","burned",1.681652497,0.313900545,853.0330956,1942.563372,1.103440046,4032.222932,"4",0.984662043486675,"0"
"107","burned",2.264135878,0.28787422,7433.673557,301.2765239,0.48012501,4496.646475,"15",0.84687862871306,"1"
"108","burned",2.504910238,0.415498472,828.3430728,302.5865552,0.802272975,701.1558306,"4",0.9275400781768,"1"
"109","burned",1.68103725,0.401742199,8747.411656,466.1046691,0.48012501,2932.409303,"4",0.915773855431974,"0"
"110","burned",2.55369657,0.458179551,230.5520617,202.0665097,0.802272975,632.8518776,"4",0.832279785390403,"0"
"111","burned",1.540774474,0.745119718,1544.252206,210.135335,0.802272975,746.8718236,"4",0.00621772031233064,"1"
"112","burned",3.460551644,0.215362915,5040.270418,948.4819119,0.48012501,3442.296045,"12",0.985860118891763,"0"
"113","burned",1.488124781,0.218393447,9746.8513,710.3921171,0.48012501,3534.81434,"4",0.998543954909328,"0"
"114","burned",2.529555289,0.258885988,10280.98871,584.0984121,0.48012501,2329.635169,"4",0.996392697021425,"1"
"115","burned",2.007088565,0.449000592,1956.62392,1363.596482,0.802272975,993.8443474,"4",0.807465824729674,"0"
"116","burned",3.813754668,0.326697698,5608.489339,228.4405851,0.48012501,2513.450333,"12",0.869090766510589,"1"
"117","burned",1.894899796,0.359522026,878.0944,2015.874036,1.103440046,4204.637705,"4",0.953787386336676,"0"
"118","burned",2.665895881,0.3537746,8674.951038,600.863022,0.48012501,2554.084806,"12",0.761851389752805,"1"
"119","not-burned",1.84049537,0.682103105,223.3827887,226.6791078,1.859779914,749.8294702,"4",0.0268850957509302,"0"
"120","not-burned",2.601360595,0.505386655,6717.362297,199.3261904,0.802272975,10073.20807,"12",0.0454773792868334,"0"
"121","not-burned",4.623767532,0.551201095,6432.147511,216.4140086,0.802272975,7624.329235,"4",0.14007922586478,"1"
"122","not-burned",1.59430614,0.50818554,5516.454154,1000.291735,0.48012501,5519.629208,"12",0.0641471119166978,"0"
"123","not-burned",1.109212586,0.391605197,2942.259492,2579.282139,0.802272975,8461.840988,"12",0.354074374554955,"0"
