mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos,umidadeMinima,precipitacaoMedia,diasComFogo,totalPluviosidade
12,2000,0,0,82.52578201368524,23.725537634408624,25.5193181818182,0.0,0.0,0.0,67.5681818181818,9.565247070478001,0,296.52265918481805
1,2001,1,0,69.03995601173021,24.74241202346043,26.5776515151515,0.0,0.0,0.0,53.3674242424242,1.8773927788445754,0,58.19917614418184
2,2001,3,0,65.40895562770562,25.75197510822513,28.2140151515152,0.0,0.0,0.0,44.9507575757576,2.6567274111428576,0,74.38836751200002
3,2001,0,0,76.8913734115347,24.259738514174018,25.9056818181818,0.0,0.0,0.0,63.9545454545455,4.352793540093841,0,134.93659974290907
4,2001,8,0,62.394696969696966,25.011616161616185,26.5416666666667,0.0,0.0,0.0,51.8522727272727,0.7122361358363635,0,21.367084075090904
5,2001,9,1,64.70735581622678,24.15701368523951,26.2674242424243,22.1662878787879,0.0,59.5227272727273,50.469696969697,0.9408209068035192,1,29.165448110909093
6,2001,16,0,59.76338383838384,22.55597222222224,24.0049242424243,0.0,0.0,0.0,51.3143939393939,0.049481970545454515,0,1.4844591163636354
7,2001,19,0,55.76099706744868,22.300745356793765,25.1943181818182,0.0,0.0,0.0,43.8636363636364,0.04131550445454547,0,1.2807806380909095
8,2001,13,9,51.13233137829913,22.944415933528855,25.5674242424243,23.612689393939448,0.012044371113636376,48.7282196969697,43.844696969697,0.026902121609970665,4,0.8339657699090907
9,2001,11,35,48.880934343434355,25.641881313131343,28.8325757575758,25.2781114718615,0.013863543051948046,47.91044372294374,36.3295454545455,0.48798741340909063,14,14.63962240227272
10,2001,1,4,64.47079667644185,24.8874511241447,28.5734848484849,25.21212121212125,0.5506294617727291,58.97159090909091,47.8636363636364,3.2194001067947235,2,99.80140331063643
11,2001,0,0,77.52159090909092,24.318977272727295,26.5909090909091,0.0,0.0,0.0,60.0378787878788,5.935614612566692,0,178.06843837700075
12,2001,1,0,72.12438905180841,24.58682795698927,27.0034090909091,0.0,0.0,0.0,51.8484848484849,4.269757776777124,0,132.36249108009085
1,2002,0,0,77.81256109481916,24.571346529814285,26.4037878787879,0.0,0.0,0.0,62.8977272727273,6.33866807096777,0,196.49871020000086
2,2002,0,0,75.13690476190474,24.49715909090911,26.8477272727273,0.0,0.0,0.0,61.6212121212121,4.961155288970871,0,138.91234809118438
3,2002,0,0,69.37964320625612,25.186400293255154,27.0556818181818,0.0,0.0,0.0,58.4621212121212,1.8600891021026895,0,57.66276216518337
4,2002,3,0,63.55063131313132,25.107878787878807,25.9609848484849,0.0,0.0,0.0,51.5454545454545,0.6948109561545455,0,20.844328684636363
5,2002,17,1,59.265884652981434,23.59219208211146,25.9,24.3689393939394,0.023672806,62.9545454545455,50.2424242424242,0.14893846245454537,1,4.617092336090907
6,2002,14,3,59.791414141414144,22.36523989898992,24.2083333333334,21.973674242424252,0.0,53.4034090909091,52.2689393939394,0.022500380030303056,2,0.6750114009090916
7,2002,0,4,56.5085532746823,22.9101173020528,24.5742424242424,22.471464646464668,4.4077124258996E-4,54.135101010101,49.2916666666667,0.05659218243416863,3,1.7543576554592275
8,2002,23,40,49.218475073313776,23.70694037145652,25.8132575757576,23.93773310023311,0.0050489722867132865,48.73135198135197,41.0681818181818,0.012966477982404705,13,0.40196081745454587
9,2002,12,105,54.17373737373737,25.213989898989926,27.9041666666667,25.47114527629235,0.2922319435454546,51.587789661319064,36.6060606060606,1.1491245084060606,17,34.47373525218182
10,2002,0,65,45.91153470185728,26.805571847507355,28.7515151515152,26.93520622895625,0.09948575342440352,44.61994949494948,38.0075757575758,0.40424922792097573,18,12.531726065550247
11,2002,9,8,63.791792929292924,25.668560606060634,28.4787878787879,26.960227272727302,0.0,49.13257575757575,43.5984848484849,4.128197911018181,2,123.84593733054544
12,2002,5,1,71.3957722385142,25.5569281524927,30.0954545454546,28.9977272727273,0.0,34.9507575757576,34.9507575757576,8.094990646785924,1,250.94471005036362
