"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"763","not-burned",16.49279976,0.492044002,876.8640137,448.8479919,2519.333984,"3",20.76691542,77.40886169,42.80915528,9.603899542,19.16403578,338.2062668,445.811822,2.22044604925031e-16,"0"
"764","not-burned",0.651171029,0.585862994,1541.119995,2364.939941,5447.67334,"4",24.00395689,36.28825389,0.985560379,15.49686295,81.03948675,179.3545994,519.2851267,0.669546497968208,"0"
"765","not-burned",3.273360014,0.516795993,3955.25,1044.709961,3242.961182,"4",24.16936863,58.56122962,32.25181492,4.533991076,39.61091665,170.4712541,625.1746735,2.22044604925031e-16,"0"
"766","not-burned",15.55060005,0.449966013,3807.26001,384.5299988,3307.85498,"4",30.18579245,35.07194988,7.644131208,6.663388892,38.27332299,13.03975563,206.9240397,1.17193753005335e-05,"0"
"767","not-burned",2.068730116,0.552709997,2211.050049,1825,7756.713867,"4",21.62088043,35.88088209,15.09761063,13.25390884,59.46783257,264.6420189,1046.62528,3.5324001076275e-08,"0"
"768","not-burned",11.09640026,0.481308997,494.8729858,280.2720032,1593.018677,"4",26.71376085,72.79875842,11.21771932,8.109118732,67.52550149,144.124997,556.2565827,1.08778263775562e-05,"0"
"769","not-burned",1.561609983,0.493519992,1599.390015,346.6109924,2066.515137,"4",26.89728217,42.83024827,25.39646547,7.505003135,24.87000637,323.9429976,565.8924924,2.22044604925031e-16,"0"
"770","not-burned",1.455800056,0.463470995,1003.190002,607.9959717,3433.023682,"4",21.1421735,70.46955727,2.395751433,18.25667212,40.18425826,214.8017505,475.4427964,0.00377896196138447,"0"
"771","not-burned",2.394380093,0.424371004,795.6389771,911.9940186,2924.706543,"4",22.95090888,72.97588209,5.492867698,18.12398375,22.54068336,228.352904,670.8794805,1.2323959459973e-05,"0"
"772","not-burned",4.035870075,0.386545986,5276.089844,451.9249878,5487.141113,"21",29.8682497,34.30482628,32.82111078,4.966654099,61.54303408,276.8395252,462.4786275,2.22044604925031e-16,"0"
"773","not-burned",15.00959969,0.480141014,2581.120117,312.9849854,2150.019775,"4",28.13052901,60.09307593,22.8846112,9.63775942,56.87221923,16.87516245,430.3685781,1.79701718678988e-11,"0"
"774","not-burned",3.465260029,0.477481008,1194.52002,516.7960205,1566.990601,"4",21.07122729,50.53361477,23.1637247,12.93302049,21.21337065,34.79084673,878.5540784,1.01929213400521e-12,"0"
"775","not-burned",11.71940041,0.420073986,5787.22998,343.9339905,4391.901855,"4",26.08743171,73.14048204,42.54078648,10.10480639,57.36116582,349.5098118,409.1934004,2.22044604925031e-16,"0"
"776","not-burned",12.55669975,0.473055005,2697.370117,788.6389771,3721.212646,"4",30.08021091,57.00382337,36.9872704,11.51961623,70.41407276,309.5376849,1111.945985,2.22044604925031e-16,"0"
"777","not-burned",2.156460047,0.390302002,650.5839844,717.4609985,517.6898193,"15",29.02804099,64.30596145,3.393102742,8.97371594,29.79080158,314.737839,982.9827644,0.000559658743570835,"0"
"778","not-burned",0.191939995,0.603142977,1290.109985,1298.680054,8846.339844,"4",23.54267193,46.83705616,3.818426515,17.75097032,85.31252548,74.65615421,236.1775415,0.384748560408162,"0"
"779","not-burned",14.74279976,0.426845014,3693.290039,516.7960205,2270.439209,"12",26.97538989,80.08665631,11.1069712,14.14800814,77.4071526,319.5464333,425.6443246,2.56388523519969e-06,"0"
"780","not-burned",9.006679535,0.474135011,1307.540039,486.3970032,3613.613525,"3",26.6117894,54.4169239,2.841798152,10.98263248,41.01086784,245.6339222,979.6618017,0.000582134372144503,"0"
"781","not-burned",4.726910114,0.465736985,693.8880005,494.8729858,5410.906738,"4",23.94829323,48.63068058,17.19269283,5.473813492,41.37614838,168.5897638,842.9156564,3.8381322533155e-09,"0"
"782","not-burned",12.95899963,0.435642004,3692.419922,364.7969971,2339.006592,"4",27.1034853,90.76061496,3.063131288,11.65026452,39.16892808,60.49534841,371.668699,0.00113513749354442,"0"
"783","not-burned",0.509908974,0.618046999,299.4030151,1003.650024,5642.41748,"3",23.43021202,70.98920481,2.230053093,5.560222413,50.92004001,192.5132936,237.5284995,0.0259185170811652,"0"
"784","not-burned",18.1114006,0.487982988,3535.409912,1551.579956,3642.524414,"4",29.08159943,49.06955248,6.678231922,5.152757368,74.67428966,351.0741724,548.5539577,5.07251037704127e-05,"0"
"785","not-burned",14.31910038,0.492680997,1467.089966,203.9279938,2873.222656,"4",25.98099435,34.967434,31.76454547,11.73278946,69.92285607,298.3548369,255.9210444,2.22044604925031e-16,"0"
"786","not-burned",11.34939957,0.402835995,2705.75,1325.439941,3231.542236,"4",23.21866922,52.079538,3.732446424,12.85649322,41.18255138,274.0696223,1030.854668,0.000120010374016944,"0"
"787","not-burned",2.863349915,0.396232992,2403.310059,1343.790039,1173.447754,"4",25.50729462,66.2732756,10.04622711,7.317112519,46.01519757,32.00850923,495.3775435,8.25998068939574e-05,"0"
"788","not-burned",14.49289989,0.362372994,2034.060059,2492.780029,2101.107178,"12",27.18020969,63.16852897,3.952263589,18.30679763,62.65969297,214.3939054,476.3108996,0.000847689712996767,"0"
"789","not-burned",15.0302,0.562528014,1740.23999,60.79959869,2110.542725,"3",26.46271513,49.45418915,5.390142801,5.75897534,19.14357352,189.9955927,201.5211495,6.13525926867657e-07,"0"
"790","not-burned",0.605946004,0.37399599,1709.160034,815.7119751,672.9281006,"15",30.5140669,59.43616541,41.83469929,13.30856652,69.59689242,2.534167406,25.69339323,2.22044604925031e-16,"0"
