"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"13","not-burned",1.781048525,0.49493222,309.9170155,771.9538646,0.802272975,5092.464707,"4",23.25144425,34.94417095,10.81242155,64.26357088,139.8027669,918.0600515,0.14846755123024,"1"
"14","not-burned",2.441764473,0.454247773,3205.565099,156.9486932,0.802272975,3401.488326,"4",25.96633554,49.03452376,10.76133448,64.68825165,92.21320613,482.8119191,0.0841377458312704,"1"
"15","not-burned",1.757145352,0.552498796,7214.25159,218.4019532,0.802272975,7855.420281,"4",25.19580024,79.00758795,5.449622134,66.99472896,221.562515,690.6814854,0.00337379643408404,"1"
"16","not-burned",1.296447142,0.396939273,3253.188224,251.111827,1.103440046,2816.27627,"4",20.83696619,64.57339078,13.88548938,50.21721501,191.4429779,588.7130566,0.00373960359215436,"1"
"17","not-burned",1.700274852,0.514626658,2086.675497,477.9669322,0.802272975,8103.202155,"4",26.19913771,67.50028379,12.58821249,84.75911923,90.00705637,562.9412166,0.312348211638727,"1"
"18","not-burned",1.028738242,0.422505542,3950.310786,1936.169716,0.802272975,9476.239729,"12",25.17902127,83.80625854,11.9108705,79.05429726,228.8756284,86.8521243,0.00909935011514546,"1"
"19","burned",1.289832244,0.665129543,287.4528295,1031.338566,0.802272975,4021.48242,"4",26.43928571,58.69047619,8.989583333,86.97068353,22.75721363,239.1765592,0.202118619870247,"1"
"20","burned",2.004671941,0.370704545,369.2584373,1020.927743,0.802272975,3509.017266,"4",22.26488095,50.39880952,14.49553571,87.77246841,142.1117823,775.0902314,0.97243502210142,"1"
"21","burned",2.343538186,0.409213967,9061.652206,1069.148183,0.48012501,1638.556086,"4",24.20238095,73.84821429,8.665684524,58.73458953,14.95908415,749.8300219,0.0714836969087077,"1"
"22","burned",1.65687943,0.363571948,707.6277556,556.8103694,0.802272975,9681.543256,"4",27.53988095,45.13988095,8.686517857,88.69204504,43.01741547,969.5517021,0.992269352059657,"1"
"23","burned",1.272868621,0.250031808,899.7991232,2354.720681,0.889882401,7061.897987,"4",21.48571429,56.2797619,13.06815476,87.40861035,152.4961471,810.7594635,0.994237333042774,"1"
"24","burned",1.446087557,0.488260094,863.6219777,342.4625926,1.086119405,1444.100473,"15",27.89732143,48.55952381,6.543630952,88.90528998,59.42132401,347.8842913,0.82110279492568,"1"
"25","burned",1.052074822,0.203056455,1545.956497,2580.213632,0.895577013,11851.95924,"4",26.53869048,55.00297619,11.80761905,88.76746541,69.72267387,377.5798092,0.996041688441368,"1"
"26","burned",1.424016243,0.390884155,203.864575,1783.661468,1.103440046,3426.890414,"12",26.10982143,62.23511905,9.955565476,77.40690572,18.84967643,763.2580034,0.55708397573066,"1"
"27","burned",1.842922953,0.53387821,11528.42363,287.4140768,2.484396252,882.7146985,"4",25.96130952,45.7172619,14.97303571,89.63285239,217.085598,1149.187981,0.827402545395497,"1"
"28","burned",1.813589303,0.499767062,8436.239789,1289.536295,0.48012501,1810.181057,"4",24.20238095,73.84821429,8.665684524,58.73458953,14.95908415,749.8300219,0.0198597300995265,"1"
"29","burned",0.976507294,0.449153638,9799.127214,508.6277688,0.48012501,3400.449365,"4",26.69553571,53.95833333,15.2072619,88.98204283,47.90318814,981.6740771,0.960825422807195,"1"
"30","burned",1.201432865,0.451354201,186.4042559,583.356466,0.802272975,3686.65521,"4",22.24613095,54.91071429,15.30633929,87.82109047,143.667536,780.2985349,0.87995161663766,"1"
"31","burned",0.756931913,0.542415986,7759.001377,1763.63356,1.103440046,5326.952065,"41",25.32946429,53.69345238,7.258541667,88.93240888,148.0892038,684.1203418,2.29033967193482e-06,"1"
"32","burned",0.726505288,0.407325913,7362.07881,1681.492766,1.103440046,5633.829437,"4",25.32946429,53.69345238,7.258541667,88.93240888,148.0892038,684.1203418,0.965788381684521,"1"
"33","burned",2.477125444,0.357711645,720.5180214,854.7390541,1.103440046,3731.044391,"4",26.10982143,62.23511905,9.955565476,77.40690572,18.84967643,763.2580034,0.889069078076106,"1"
"34","burned",0.851107316,0.536972727,1744.093547,2285.622325,0.895577013,9167.185118,"4",27.10178571,56.95833333,6.507291667,87.70843867,32.76744207,153.0655137,0.64006731002321,"1"
"35","burned",1.15826545,0.637953873,8374.726513,1209.82293,1.103440046,4783.824415,"3",25.32946429,53.69345238,7.258541667,88.93240888,148.0892038,684.1203418,0.831285146867553,"1"
"36","burned",1.805997649,0.407969601,9349.695359,819.0181844,0.48012501,1838.888032,"4",24.20238095,73.84821429,8.665684524,58.73458953,14.95908415,749.8300219,0.0735535996533991,"1"
"37","not-burned",3.312793544,0.443803559,2793.427211,515.3263498,0.802272975,2644.057447,"4",20.06408721,70.44927183,17.44197506,26.21541733,247.5932118,252.1946338,2.51433338208937e-06,"1"
"38","not-burned",1.445043653,0.563342216,6116.832282,463.3197555,0.48012501,7868.469876,"4",27.12918828,37.95216983,16.6039478,67.38134151,204.6571473,951.2554099,0.0198218425704937,"1"
"39","not-burned",2.203409529,0.466428872,10266.69314,329.3286643,1.090920941,4232.831212,"12",23.12200951,73.44709323,5.072705732,19.17218646,310.4067822,1158.21784,5.07951952005038e-07,"1"
"40","not-burned",1.732814153,0.463231241,1133.391452,1218.426467,1.103440046,2652.202078,"4",24.07547724,39.21428296,9.491290006,39.63889644,75.44936867,993.1005479,0.00491661262597833,"1"
"41","not-burned",1.826583163,0.559289992,3423.440726,593.2270835,1.103440046,2676.139264,"4",28.43561347,76.97818369,4.640401064,49.4187958,81.6058366,198.1482472,0.000216560843054657,"1"
"42","not-burned",1.131447048,0.536535547,2437.294829,3874.106135,0.48012501,5271.57555,"4",19.37438548,92.59466227,8.808262446,70.30564978,200.4215539,212.447934,0.00512613587021758,"1"
"43","not-burned",1.669084237,0.619814084,366.4877843,147.4308528,2.220340014,940.8759934,"4",24.66811199,90.75471794,17.5278631,23.96396327,293.2752043,16.01947066,1.48524785935255e-08,"1"
"44","not-burned",1.921699116,0.474240182,9300.947141,1071.124522,2.220340014,1535.791675,"4",28.42681273,91.94502115,7.89330909,81.15989785,89.78495625,200.592165,0.129494543687333,"1"
"45","not-burned",1.755251161,0.561184523,200.3423625,725.8551257,2.220340014,980.1417166,"4",28.43948317,41.83856212,13.21457082,21.04036372,12.45204238,859.1012606,1.81916031004877e-05,"1"
"46","not-burned",0.90089803,0.559788525,1759.386648,1117.488894,0.802272975,6501.642052,"4",27.42773608,73.92291768,17.47290282,18.1961253,117.9398021,979.902688,4.39381824020598e-07,"0"
"47","not-burned",1.638508227,0.542999985,2695.587813,1319.689432,0.802272975,6586.997384,"4",30.13294264,44.75364339,14.54460661,51.25396591,285.0324652,461.1019747,0.000220163380330393,"1"
"48","not-burned",3.250648881,0.436596861,4918.522054,1473.001969,0.48012501,3591.587488,"4",25.8909053,74.00536388,5.617970906,91.73211607,32.14017636,996.6759538,0.97592486307846,"1"
"49","not-burned",1.738000647,0.628119767,988.9252888,243.0415458,0.86051755,571.6028216,"3",26.93118701,69.38675368,9.028894626,71.86099076,203.4114073,232.4154973,0.0215564478823978,"1"
"50","not-burned",1.830920483,0.484557772,2197.412522,256.3796488,0.802272975,3192.312306,"4",23.39436026,71.24448379,9.394328066,45.48799255,91.69264017,691.1731484,0.000785610512500595,"1"
"51","not-burned",6.826018736,0.543308882,1337.750959,1718.177357,2.220340014,1277.08116,"4",19.79723389,82.62504037,16.80423873,43.29082936,177.4548303,203.617864,1.15571469674189e-05,"1"
