HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;721,2620239;0,69796598;0,641727984;0;638,3959961;5;0
1;715,7280273;0,374785006;0,733044982;30,39979935;2564,060059;5;0
1;781,6420288;1,787770033;0,540669978;1971,300049;310,0180054;4;0
1;764,8590088;1,697450042;0,560714006;2161,810059;155,0090027;4;0
1;788,4400024;1,867799997;0,551060975;1551,579956;1733,050049;4;1,961470008
1;796,3099976;1,280200005;0,527261972;2085,209961;4058,570068;4;8,214019775
1;782,6049805;2,017369986;0,539622009;1648,609985;2300,969971;4;8,214019775
1;794,1140137;2,522459984;0,52255702;1985,089966;3288,379883;4;8,214019775
1;769,0510254;3,116739988;0,562669992;1709,160034;250,6829987;4;0
1;782,6049805;2,017369986;0,539622009;1648,609985;2300,969971;4;8,214019775
1;790,6430054;1,573009968;0,597739995;1006,409973;580,7869873;4;0
1;803,184021;1,627920032;0,556671023;2545,25;1681,630005;4;0
1;796,3099976;1,280200005;0,527261972;2085,209961;4058,570068;4;8,214019775
1;782,6010132;2,073600054;0,54223299;1740,23999;914,5239868;4;1,961470008
1;775,1729736;2,084209919;0,545837998;1114,890015;2288,679932;4;1,961470008
1;790,0469971;2,659590006;0,535116017;1551,579956;1615,77002;4;1,961470008
1;790,2639771;1,325459957;0,537571013;838,6160278;826,9639893;4;0,292205989
1;799,3410034;1,222630024;0,57348597;1592,72998;742,1539917;2;0,292205989
1;797,9790039;2,086339951;0,302726001;2339,01001;354,5190125;2;0,292205989
1;730,6970215;2,246680021;0,611841977;184,9149933;3347,429932;4;0
1;775,4500122;2,533910036;0,524019003;3116,97998;1128,069946;4;0
1;727,5980225;1,831969976;0,570654988;666,7189941;1349,290039;4;0
1;801,9260254;1,233260036;0,512353003;2244,030029;1711,319946;4;0
1;779,1519775;2,159199953;0,571862996;1666,449951;730,8610229;4;0
1;720,2910156;0,309623003;0,578500986;60,79959869;2743,570068;4;0,0123088
1;718,7589722;1,038120031;0,648782015;30,39979935;2325,139893;5;0
1;737,2089844;4,722199917;0,565172017;259,7359924;1469,290039;4;0,292205989
1;732,2639771;0,919496;0,57356602;887,8610229;1253,420044;4;0
1;724,4439697;1,765580058;0,566534996;60,79959869;1825;5;0,0123088
1;718,5700073;0,51828903;0,556288004;125,3420029;472,9100037;5;0
1;725,1309814;2,87477994;0,556634009;151,9989929;177,2599945;4;0,0123088
1;759,2620239;1,105489969;0,65249002;945,8200073;1930,810059;4;0,0123088
1;717,7990112;2,287250042;0,587749004;128,9750061;2397,149902;4;0,0123088
1;802,7410278;2,293709993;0,535567999;2002,23999;1055,27002;4;0
1;728,5369873;0,883192003;0,610123992;323,1539917;1334,819946;4;0,0123088
1;719,0310059;0,547549009;0,498562008;442,6279907;2199,949951;3;0
1;719,1420288;1,667430043;0,531099021;151,9989929;2905,209961;4;0
1;801,3049927;4,536849976;0,547433019;1421,329956;1824,48999;3;1,195629954
1;793,78302;2,653970003;0,53679198;2371,379883;1150,780029;4;0
1;732,4130249;2,49090004;0,459093004;519,4719849;1329,619995;4;0
1;758,8209839;2,305320024;0,50949198;924,5739746;30,39979935;4;0
1;740,3569946;1,481770039;0,586295009;395,196991;2021,300049;4;0
1;777,6099854;3,438610077;0,523953974;1569,349976;271,9039917;4;0
1;757,9379883;3,789030075;0,62530899;395,196991;1144,339966;4;0,0123088
1;719,4089966;1,808419943;0,559013009;192,2649994;2044,939941;5;0
1;724,2880249;2,042259932;0,539907992;300,9429932;980,3640137;4;0
1;741,8330078;1,59126997;0,580847025;1101,550049;1253,420044;4;0
1;718,2280273;0,646997988;0,758660018;212,798996;2439;5;0
1;732,7960205;2,469189882;0,520466983;125,3420029;1002,72998;4;0
1;777,9030151;1,846889973;0,589312017;2161,810059;1089,73999;4;0,292205989
1;724,4439697;1,765580058;0,566534996;60,79959869;1825;5;0,0123088
1;783,0009766;1,478199959;0,547688007;537,8270264;1237,459961;4;0,292205989
1;765,1760254;1,065080047;0,594210982;775,0460205;1544,420044;4;0,0123088
1;730,7420044;1,195490003;0,526242018;60,79959869;1180,51001;4;0
1;766,9810181;0,966189027;0,638025999;1057,459961;1247,869995;4;0,292205989
1;770,9760132;1,707039952;0,559165001;1098,609985;590,257019;4;0,292205989
1;729,5780029;0,680073977;0,579807997;214,9589996;2403,889893;4;0,0123088
1;801,5419922;1,372990012;0,60730201;426,6809998;2768,379883;4;0,292205989
1;724,065979;2,873529911;0,573549986;121,598999;286,7909851;5;0,0123088
1;733,3010254;1,239570022;0,612154007;91,19940186;1851,390015;4;0,0123088
1;798,6339722;0,659591019;0,545488;1415,800049;834,75;2;0,292205989
1;729,5780029;0,680073977;0,579807997;214,9589996;2403,889893;4;0,0123088
1;729,7670288;1,065279961;0,554018021;367,321991;3231,540039;5;0,0123088
1;744,5469971;1,423099995;0,635886014;1210,660034;2978,870117;4;0,0123088
1;733,75;1,672449946;0,555993021;163,7079926;2206,030029;4;0
1;728,6220093;1,695189953;0,353181005;212,798996;1605,160034;3;0,0123088
1;736,0720215;3,094500065;0,537670016;775,0460205;2629,360107;4;0,0123088
1;764,7039795;0,545293987;0,593990982;1805,910034;1399,709961;4;0,292205989
1;743,723999;0,752548993;0,501770973;328,8240051;4778,859863;4;0,0123088
1;755,4000244;1,683650017;0,581167996;666,7189941;3821,800049;4;0,0123088
1;785,0499878;1,895059943;0,538748026;1484,619995;1961,910034;4;1,961470008
1;742,007019;1,455109954;0,565907001;1768,680054;1069,189941;4;0
1;715,9710083;0,213094994;0,735247016;0;2551,590088;5;0
1;725,0750122;2,721339941;0,493095011;734,6439819;1925,77002;4;0
1;722,315979;1,554270029;0,552401006;280,2720032;2164,370117;3;0
1;723,4790039;1,24890995;0,339646012;121,598999;2787,02002;4;0,0123088
1;717;2,056190014;0,693763018;42,9917984;2623,909912;5;0
1;715,1350098;1,979889989;0,649765015;60,79959869;2539,790039;5;0
1;722,7849731;2,050859928;0,530421019;286,7909851;1968,719971;4;0
1;713,5599976;0,357634991;0,566824019;60,79959869;2420,560059;5;0
1;719,6680298;2,374409914;0,746093988;151,9989929;2593,97998;5;0
1;715,947998;0,229531005;0,750002027;0;2573,22998;5;0
1;721,1400146;1,87274003;0,695846975;42,9917984;2116,879883;5;0
1;737,5930176;1,801450014;0,616961002;1870,27002;1253,420044;4;0
1;715,6199951;1,260159969;0,600511014;30,39979935;2308,179932;5;0
1;717,3499756;1,197790027;0,768105984;109,6080017;2773,050049;5;0
1;722,0360107;0,979309976;0,50721401;317,3829956;2015,119995;4;0
1;712,7329712;0,654061019;0,513818979;243,197998;2374,300049;5;0
1;741,2949829;1,041839957;0,536072016;1324,400024;1282,930054;4;0
1;718,3309937;0,751474023;0,688817024;109,6080017;2573,22998;5;0
1;723,4849854;1,797659993;0,550001979;219,2160034;2455,620117;4;0,0123088
1;716,684021;1,218680024;0,716259003;0;2506,830078;5;0
1;716,6900024;1,797729969;0,667756021;60,79959869;2624,969971;5;0
1;725,5629883;4,152140141;0,566922009;135,9519958;1070,920044;4;0,0123088
1;717,7670288;1,034369946;0,528611004;0;2418,459961;5;0
1;718,6409912;2,86777997;0,605458975;303,9979858;2447,889893;5;0
1;722,7299805;1,961060047;0,501013994;679,7600098;2094,060059;4;0
1;716,8239746;0,749032974;0,748058021;42,9917984;2522,27002;5;0
1;715,6929932;0,739570975;0,784439981;91,19940186;2522,449951;5;0
1;725,0750122;2,721339941;0,493095011;734,6439819;1925,77002;4;0
1;719,1469727;1,168630004;0,698439002;42,9917984;2308,179932;5;0
1;714,0159912;0,48872599;0,583525002;128,9750061;2470,060059;5;0
1;718,9860229;0,900481999;0,733430028;214,9589996;2595,399902;5;0
1;725,5629883;4,152140141;0,566922009;135,9519958;1070,920044;4;0,0123088
1;715,9810181;1,119019985;0,623481989;60,79959869;2418,459961;5;0
1;720,7340088;0,316536009;0,64844197;0;2653,850098;4;0,0123088
1;720,125;2,521980047;0,46300301;354,5190125;2013,050049;4;0
1;719,8909912;0,083308302;0,488214999;257,9509888;2359,659912;3;0
1;715,3889771;2,273740053;0,492579997;163,7079926;2167,780029;5;0
1;712,0180054;1,321889997;0,470319986;395,196991;2212,51001;5;0
1;775,0679932;2,061320066;0,521901011;851,7369995;2767,879883;4;1,961470008
1;766,6170044;1,948950052;0,495103002;926,0720215;701,8339844;4;1,195629954
1;796,8170166;1,757120013;0,535443008;2042,219971;4068,120117;4;8,214019775
1;718,7059937;1,629369974;0,721776009;151,9989929;2295,340088;5;0
1;718,46698;1,417739987;0,733040988;125,3420029;2248,969971;5;0
1;770,401001;3,634660006;0,441356987;151,9989929;384,5299988;4;1,195629954
1;714,7379761;2,086819887;0,592597008;96,13259888;2545,790039;5;0
1;722,8369751;0,931496978;0,502231002;366,0620117;2094,060059;3;0
1;717,9310303;1,660619974;0,742497981;30,39979935;2790,159912;5;0
1;720,5139771;1,376060009;0,498429;259,7359924;2254,100098;3;0
1;779,7410278;1,876999974;0,548587978;1659,51001;936,4910278;4;1,961470008
1;716,1729736;0,321420014;0,702015996;42,9917984;2713,77002;5;0
1;725,0750122;2,721339941;0,493095011;734,6439819;1925,77002;4;0
1;718,473999;3,28102994;0,685572982;259,7359924;2468,939941;5;0
1;779,4320068;2,749700069;0,568397999;1576,400024;654,8319702;4;1,961470008
1;779,7410278;1,876999974;0,548587978;1659,51001;936,4910278;4;1,961470008
1;752,4829712;2,225689888;0,556361973;2077,889893;745,2600098;4;0
1;734,934021;1,343780041;0,62154901;668,7949829;2487,77002;4;0,0123088
1;721,6550293;2,136100054;0,741321981;177,2599945;2470,060059;5;0
1;718,5310059;1,692649961;0,695272982;109,6080017;2374,300049;5;0
1;718,6680298;1,459310055;0,697468996;151,9989929;2580,939941;5;0
1;752,4829712;2,225689888;0,556361973;2077,889893;745,2600098;4;0
1;767,6060181;1,668560028;0,558010995;1055,27002;1210,280029;4;1,961470008
