HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density
1;598,1599731;1,866420031;0,47637099;486,3970032;10374;3;2,220340014
1;635,1339722;3,248509884;0,505416989;1169,5;8438,5;3;2,220340014
1;587,6569824;3,3150599;0,371174991;701,8339844;9326;3;2,220340014
1;589,2059937;3,240750074;0,402444005;657,6480103;9866,830078;3;2,220340014
1;609,1539917;2,202630043;0,389108986;1240,449951;8877,419922;3;2,220340014
1;586,710022;1,277459979;0,433773994;509,5929871;10954,59961;3;2,220340014
1;581,0880127;3,42869997;0,385843992;151,9989929;10682,2002;4;2,220340014
1;620,9180298;3,371370077;0,421481997;505,9530029;5993,689941;3;2,220340014
1;569,4660034;3,415390015;0,627403975;67,97599792;11996,59961;4;2,220340014
1;578,822998;2,245189905;0,418653995;0;11264,2998;3;2,220340014
1;626,5059814;4,222789764;0,464143008;396,3649902;5240,5;3;2,220340014
1;629,6279907;3,055749893;0,480138004;339,8800049;5579;3;2,220340014
1;627,1760254;2,16283989;0,463845015;163,7079926;6489,629883;3;2,220340014
1;645,7030029;2,16621995;0,494309008;1509,310059;6527,470215;3;2,220340014
1;609,132019;3,580770016;0,455451012;1519,98999;7667,140137;3;2,220340014
1;574,4390259;3,744390011;0,457695007;346,6109924;9822,94043;3;2,220340014
1;637,1550293;2,455919981;0,510693014;2307,179932;7905;3;2,220340014
1;623,0980225;3,01154995;0,477144003;1074,790039;7142,589844;3;2,220340014
1;577,4039917;0,742312014;0,516928971;343,9339905;12167;3;2,220340014
1;630,9990234;1,546630025;0,510069013;598,8060303;5579;3;2,220340014
1;621,1680298;3,195780039;0,482192993;886,2990112;7182,850098;3;2,220340014
1;622,2290039;1,956500053;0,508014023;1368,329956;7668,459961;3;2,220340014
1;620,78302;3,33088994;0,504267991;1156,790039;9709,530273;3;2,220340014
1;618,7230225;1,467710018;0,437043995;730,2280273;9010,5;3;2,220340014
1;618,3060303;2,568229914;0,458180994;1507,170044;7240;3;2,220340014
1;578,822998;2,245189905;0,418653995;0;11264,2998;3;2,220340014
1;622,1010132;2,35800004;0,450684994;303,9979858;5448,689941;3;2,220340014
1;620,78302;3,33088994;0,504267991;1156,790039;9709,530273;3;2,220340014
1;632,3690186;2,325819969;0,489553988;1049,560059;8161,930176;3;2,220340014
1;571,7189941;3,129930019;0,441163987;231,5180054;10577,09961;3;2,220340014
1;607,1350098;4,171160221;0,470643997;1626,030029;8336,700195;4;2,220340014
1;624,6060181;2,635669947;0,456634998;580,7869873;5133,339844;3;2,220340014
1;595,7349854;3,889169931;0,443370014;30,39979935;4351;4;2,220340014
1;631,0980225;1,042520046;0,47448501;615,5490112;5223,109863;3;2,220340014
1;582,5800171;9,35861969;0,537442982;85,9835968;11160,40039;4;2,220340014
1;658,4130249;1,954550028;0,514657974;1261,130005;5449,279785;3;2,220340014
1;613,2219849;0,847635984;0,626060009;0;3274,159912;4;2,220340014
1;663,6729736;21,58309937;0,527620971;1005,030029;6840,560059;3;2,220340014
1;634,4299927;2,185630083;0,458986998;679,7600098;5983,430176;3;2,220340014
1;598,1729736;3,370379925;0,580039978;364,7969971;10988,09961;4;2,220340014
1;647,4819946;1,306710005;0,534851015;625,9699707;4544,640137;3;2,220340014
1;661,8959961;3,53798008;0,465541989;1269,530029;3133,540039;3;2,220340014
