HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;FMC;DMC;DC;year
1;727,8469849;2,125250101;0,5426;280,2720032;109,6080017;0,802272975;6009,09375;4;28,55059524;30,25;0;12,72122024;92,50585685;123,2800704;936,8674604;2005
1;683,2059937;0,233684003;0,5393;825,8449707;171,9669952;0,48012501;1733,05481;3;25,22291667;45,12797619;0;12,71877976;90,08215348;185,1344029;830,3316077;2005
1;720,5889893;1,166669965;0,5024;699,1950073;906,9130249;1,103440046;1226,962158;4;27,54553571;31,51190476;0;9,827827381;92,07793355;103,4037696;899,9923175;2005
1;776,2810059;2,951329947;0,5784;807,742981;231,5180054;0,802272975;5434,169922;4;25,65625;41,40178571;0;10,27330357;91,08162027;71,87763498;839,4687818;2005
1;814,7319946;0,621102989;0,4259;2038,829956;1586,920044;0,802272975;4036,309326;4;25,65625;41,40178571;0;10,27330357;91,08162027;71,87763498;839,4687818;2005
1;806,7869873;1,262699962;0,2653;5453,350098;463,0360107;0,672481;870,5175781;4;26,43541667;52,82738095;0,658359905;12,56327381;88,02590826;27,50813555;614,1220059;2005
1;703,3380127;1,409600019;0,4791;0;634,7659912;1,103440046;30,39979172;12;27,66934524;36,97321429;0;15,10571429;90,97996661;66,09149757;827,7270854;2005
1;749,9760132;1,604339957;0,5141;2620,909912;1198;1,103440046;3187,777344;4;26,63630952;38,5625;0;9,911934524;91,18106583;77,8422868;851,3979782;2005
1;730,6300049;3,139290094;0,5485;4752,680176;221,3139954;1,103440046;4799,798828;4;27,13303571;42,08928571;0;10,86377976;91,25516206;83,60390814;863,4667282;2005
1;793,9459839;4,742179871;0,5189;5322,129883;829,7529907;1,103440046;5577,429688;4;27,54791667;34,94345238;0;15,89300595;92,12797706;106,7227528;906,1549425;2005
1;751,0599976;1,895580053;0,5841;4433,060059;257,9509888;1,103440046;4929,736328;4;27,54791667;34,94345238;0;15,89300595;92,12797706;106,7227528;906,1549425;2005
1;688,1049805;0,25525701;0,4772;10689,7002;171,9669952;0,48012501;109,6080093;4;25,40684524;46,92559524;0;11,99479167;89,90014932;175,5741915;807,1812149;2005
1;693,8670044;2,376610041;0,549;9887,830078;587,1170044;0,48012501;3364,640381;4;26,14136905;38,05059524;0;10,04532738;92,09574197;112,8455639;917,9323175;2005
1;724,7390137;2,34078002;0,6998;1343,109985;578,3959961;0,802272975;1199,540527;12;25,40684524;46,92559524;0;11,99479167;89,90014932;175,5741915;807,1812149;2005
1;705,9609985;1,191990018;0,4157;9285,530273;765,4470215;0,48012501;3216,349609;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;764,0449829;0,704859018;0,212;679,7600098;871,0479736;0,802272975;930,0548096;4;24,17142857;68,88988095;0,07075732;8,402261905;84,59017967;7,591949962;33,93720048;2005
1;711,9050293;2,838550091;0,344;435,2590027;121,598999;0,802272975;192,2651672;15;27,66934524;36,97321429;0;15,10571429;90,97996661;66,09149757;827,7270854;2005
1;692,9420166;2,109460115;0,4383;1109,48999;517,6900024;0,802272975;1016,008179;3;27,66934524;36,97321429;0;15,10571429;90,97996661;66,09149757;827,7270854;2005
1;802,8189697;1,849560022;0,5092;5860,149902;60,79959869;0,672481;1215,991699;4;28,80565476;35,04166667;0;11,40860119;92,19585727;119,5973501;930,5243532;2005
1;696,276001;2,838769913;0,5785;699,1950073;30,39979935;0,802272975;729,5949707;4;27,66934524;36,97321429;0;15,10571429;90,97996661;66,09149757;827,7270854;2005
1;805,3410034;0,564787984;0,7211;6821,819824;1332,400024;1,103440046;3686,405762;4;27,8735119;44,79761905;0,06960913;10,86869048;89,92477384;25,21500674;608,1596309;2005
1;770,1719971;2,905319929;0,6608;5100,009766;30,39979935;1,103440046;4310,450195;4;27,8735119;44,79761905;0,06960913;10,86869048;89,92477384;25,21500674;608,1596309;2005
1;807,53302;1,327090025;0,7092;10411,7002;838,6160278;0,672481;3144,72583;4;27,8735119;44,79761905;0,06960913;10,86869048;89,92477384;25,21500674;608,1596309;2005
1;809,8549805;0,911888003;0,4648;10016,5;1272,800049;0,672481;2248,968262;4;26,43541667;52,82738095;0,658359905;12,56327381;88,02590826;27,50813555;614,1220059;2005
