HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;year
1;670,3859863;3,108550072;0,4967;237,4299927;1039,829956;2,717230082;1842,390015;4;2005
1;668,6129761;2,76383996;0,6694;3020,459961;1519,380005;0,895577013;2076,550049;12;2005
1;742,7639771;2,196719885;0,3258;203,9279938;1559,900024;3,122620106;1779,880005;4;2005
1;846,835022;1,143589973;0,2416;435,2590027;4042,139893;1,533360004;1325,439941;4;2005
1;654,5789795;1,484079957;0,2712;843,0120239;1070,920044;3,156620026;1550,689941;4;2005
1;663,8569946;3,115819931;0,3889;3855,5;802,5780029;0,895577013;2479,590088;12;2005
1;812,5549927;4,071549892;0,4406;288,3980103;2145,5;1,533360004;3267,659912;4;2005
1;845,8250122;0,689347029;0,2084;707,0809937;3344,530029;1,533360004;767,2559814;41;2005
1;641,4730225;7,852970123;0,463;2217,52002;972,7930298;2,717230082;1678,880005;4;2005
1;785,53302;3,609560013;0,6841;275,2820129;1327,189941;1,533360004;2472,870117;4;2005
1;650,2780151;3,220769882;0,2949;1016,01001;407,8559875;2,717230082;1155,589966;4;2005
1;746,690979;2,354409933;0,6762;1719,670044;42,9917984;1,533360004;1374,72998;4;2005
1;641,2659912;2,825530052;0,4602;530,9099731;599,5780029;2,717230082;1155,589966;4;2005
1;648,3389893;1,831279993;0,3951;1139,48999;1444,22998;2,717230082;1217,51001;12;2005
1;620,0859985;2,011100054;0,6227;699,1950073;151,9989929;1,533360004;1187,150024;4;2005
1;632,4630127;4,998109818;0,4464;547,1959839;396,3649902;1,533360004;250,6829987;15;2005
1;679,2030029;2,012639999;0,4484;1342,069946;1237,459961;3,156620026;2039,280029;4;2005
1;641,9860229;3,065979958;0,4112;2877,080078;995,7960205;2,717230082;2098,469971;12;2005
1;656,3920288;1,252730012;0,4201;1432,670044;2285,449951;3,156620026;3040,129883;4;2005
1;626,3870239;2,377199888;0,6584;701,8339844;42,9917984;1,533360004;1281,48999;3;2005
1;843,9569702;0,310853988;0,5583;30,39979935;3341,899902;1,533360004;856,6060181;4;2005
