HAS_FIRE;datahora;latitude;longitude;elev_cave;slope_cave;NDVI_cave;hidro_dist;road_dista;censo_cave;Classe_cav
1;2009/10/20 19:43:45;-14,86999989;-44,59500122;785,8870239;2,100660086;0,576098025;759,9949951;67,97599792;0;4
1;2009/11/23 19:29:54;-14,89000034;-44,54600143;799,8400269;2,591360092;0,631195009;2586,659912;2543,790039;0;4
1;2009/11/19 19:26:13;-14,89000034;-44,60499954;743,5540161;1,616870046;0,61204201;91,19940186;548,039978;0;4
1;2009/11/19 19:26:13;-14,89999962;-44,62599945;752,9680176;2,2493999;0,698909998;1431,050049;243,197998;0;4
1;2009/11/23 19:29:54;-14,89000034;-44,57600021;765,927002;1,62432003;0,575874984;1653,089966;1479,319946;0;2
1;2009/11/19 19:26:13;-14,89999962;-44,60300064;755,3850098;2,547849894;0,630662024;683,1500244;163,7079926;0;4
1;2009/11/17 19:45:00;-14,88000011;-44,56600189;803,2109985;1,103399992;0,622437;3074,139893;3096,75;0;4
1;2019/12/18 00:37:55;-14,89000034;-44,54999924;789,1740112;2,4375;0,642804027;2597,360107;2204,97998;0;4
1;2007/09/15 17:08:00;-14,89999962;-44,74399948;747,9849854;1,776119947;0,589075983;825,8449707;823,0430298;0,292205989;4
1;2008/10/05 19:44:02;-14,89999962;-44,6629982;743,2479858;1,863659978;0,651546001;928,0650024;1830,310059;0;4
1;2008/10/05 19:44:02;-14,89999962;-44,65299988;742,2280273;0,541836023;0,682874024;323,1539917;1586,040039;0;4
1;2008/10/06 19:17:25;-14,89999962;-44,77600098;807,5599976;1,483540058;0,555335999;2492,780029;583,9609985;0,672481;2
1;2007/09/26 20:39:52;-14,89999962;-44,63100052;737,2160034;1,879930019;0,600394011;759,9949951;1069,189941;0;4
1;2002/10/02 13:39:00;-14,93999958;-44,5530014;720,1810303;1,756600022;0,601152003;121,598999;2713,77002;0;3
1;2002/10/22 13:14:00;-14,90999985;-44,60800171;721,2620239;0,69796598;0,640715003;0;638,3959961;0;5
1;2002/10/02 13:39:00;-14,93999958;-44,54700089;715,7280273;0,374785006;0,642881989;30,39979935;2564,060059;0;5
1;2003/09/25 19:22:48;-14,90999985;-44,55799866;781,6420288;1,787770033;0,545082986;1971,300049;310,0180054;0;4
1;2003/09/25 19:22:48;-14,90999985;-44,57099915;764,8590088;1,697450042;0,578109026;2161,810059;155,0090027;0;4
1;2005/12/02 13:55:00;-14,92000008;-44,42200089;788,4400024;1,867799997;0,576869011;1551,579956;1734,920044;1,961470008;4
1;2005/10/17 21:00:00;-14,92000008;-44,40000153;796,3099976;1,280200005;0,564405978;-9999;-9999;-9999;4
1;2005/10/19 18:30:00;-14,92000008;-44,41600037;782,6049805;2,017369986;0,558188021;1648,609985;2308,97998;-9999;4
1;2005/10/17 16:28:00;-14,93000031;-44,40800095;794,1140137;2,522459984;0,551518977;1985,089966;3291,050049;-9999;4
1;2005/10/17 19:08:23;-14,92000008;-44,52099991;769,0510254;3,116739988;0,61787498;1709,160034;250,6829987;0;4
1;2005/10/17 21:00:00;-14,92000008;-44,41600037;782,6049805;2,017369986;0,558188021;1648,609985;2308,97998;-9999;4
1;2005/10/17 19:08:23;-14,90999985;-44,52299881;790,6430054;1,573009968;0,63142699;1006,409973;580,7869873;0;4
1;2005/10/17 19:08:23;-14,90999985;-44,49100113;803,184021;1,627920032;0,629630029;2705,75;1681,630005;0;4
1;2005/10/19 18:30:00;-14,92000008;-44,40000153;796,3099976;1,280200005;0,564405978;-9999;-9999;-9999;4
1;2005/10/18 17:11:00;-14,92000008;-44,43000031;782,6010132;2,073600054;0,498854995;1740,23999;914,5239868;1,961470008;4
1;2005/10/17 16:28:00;-14,93000031;-44,41799927;775,1729736;2,084209919;0,559638977;1114,890015;2288,679932;1,961470008;4
1;2005/10/18 17:11:00;-14,92000008;-44,42300034;790,0469971;2,659590006;0,554669023;1551,579956;1615,77002;1,961470008;4
1;2005/11/10 19:30:00;-14,92000008;-44,76599884;790,2639771;1,325459957;0,533550978;838,6160278;826,9639893;0,292205989;4
1;2006/09/13 19:38:52;-14,90999985;-44,77299881;799,3410034;1,222630024;0,637063026;1592,72998;742,1539917;0,292205989;2
