,Foco,Temperatura,Wind_Speed,RH,Prec,Numero de focos
08/05/2011,0,27.4681055,10.18930291,47.44011781,8.58E-04,0
09/05/2011,0,28.10822276,8.744971987,39.59984131,0,0
10/05/2011,0,28.8862736,9.695099384,38.54356027,0,0
11/05/2011,0,28.82161174,10.59065056,39.01056963,0,0
12/05/2011,0,28.45525311,9.406316375,44.02926153,0,0
13/05/2011,0,27.2858926,8.173337491,47.68410018,0,0
14/05/2011,0,27.68598785,8.962652977,43.76321284,0,0
15/05/2011,0,28.22788234,8.082248465,41.98293508,0,0
16/05/2011,0,29.07797493,6.524001222,43.20482754,0.003430917,0
17/05/2011,0,28.68192104,5.708707713,48.1220891,0.720492484,0
18/05/2011,0,28.07290473,9.280032624,54.50916433,8.963269589,0
19/05/2011,0,26.34407858,7.921779936,62.3474986,45.21604973,0
20/05/2011,0,25.24834121,7.972980943,64.16311275,18.53981552,0
21/05/2011,0,25.90550249,11.2168064,52.23710012,1.350923407,0
22/05/2011,0,25.06858827,14.16370965,42.04058047,0,0
23/05/2011,0,25.60450857,11.36704435,52.02533888,1.500168279,0
24/05/2011,0,26.21967478,10.81088323,56.6049041,4.410443275,0
25/05/2011,0,27.98768462,8.925405806,49.20135791,1.175946661,0
26/05/2011,0,27.39149526,8.10315034,40.67662487,0,0
27/05/2011,0,27.91634572,7.811543418,35.48313149,0,0
28/05/2011,0,28.23245084,8.049017193,38.44644694,0,0
29/05/2011,0,29.12418707,6.834119614,34.08250592,0,0
30/05/2011,0,28.90542616,8.720472129,38.75612858,0,0
31/05/2011,0,27.67720227,10.04554294,44.01187544,0,0
01/06/2011,0,26.98999159,7.538363865,43.00892988,0.00E+00,0
02/06/2011,0,28.81339914,7.305677793,41.54535567,0.00E+00,0
03/06/2011,0,29.3221707,5.86301105,42.09372197,0.00E+00,0
04/06/2011,0,30.67076017,4.619903626,34.85014521,0.00E+00,0
05/06/2011,0,29.69760414,6.845849094,35.52076492,0.00E+00,0
06/06/2011,0,28.38650497,11.3586079,45.35633778,0.00E+00,0
07/06/2011,0,28.43920358,11.98503201,46.3873689,0.075901491,0
08/06/2011,0,30.24050602,8.102048883,40.57809283,0.00E+00,0
09/06/2011,0,31.91483661,7.001152477,35.14909388,0.00E+00,0
10/06/2011,0,28.06483119,8.891929444,47.59550809,0.402179331,0
11/06/2011,0,28.37766292,7.554364173,44.04022971,0.452451747,0
12/06/2011,0,27.49893999,12.59558244,50.5206633,3.477668329,0
13/06/2011,0,26.84303671,10.1222499,49.37510464,3.002544708,0
14/06/2011,0,27.12067708,7.745522561,46.65197603,0.492866827,0
15/06/2011,0,26.60094138,12.44368936,38.84075058,0.006900136,0
16/06/2011,0,26.08969405,12.80242586,40.58349641,0.00E+00,0
