datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2000/08/27 21:00:00,NOAA-12,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,,,,-14.8350,-44.7131,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9081,-44.4217,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2300,-44.2731,,APA CAVERNAS DO PERUACU
2000/10/17 21:00:00,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9700,-44.2517,,APA CAVERNAS DO PERUACU
2000/09/19 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0650,-44.2317,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9067,-44.4117,,APA CAVERNAS DO PERUACU
2001/09/19 13:07:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2630,-44.2090,,APA CAVERNAS DO PERUACU
2001/12/11 13:35:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1990,-44.1630,,APA CAVERNAS DO PERUACU
2001/08/27 21:38:40,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9033,-44.3533,,APA CAVERNAS DO PERUACU
2001/10/27 19:33:43,NOAA-12,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,,,,-14.9750,-44.8617,,APA CAVERNAS DO PERUACU
2001/09/04 20:11:25,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0333,-44.3083,,APA CAVERNAS DO PERUACU
