"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","year","month"
1.871465402,4.004718559,3.090726019,8.404383349,14.057730671,4.231178553,9.459686926,14.037802191,17.692866517,4.285528953,6.724956022,12.301306947,12.235180628,12.314894548,10.871891457,4.225743513,4.289152313,6.577304105,4.759283262,4.052728078,4.727578863,5.574539246,6.33182147,2.46931979,48384,216
3.086196817,3.016447139,3.815398002,4.511083109,8.607291503,2.03179908,2.569868029,3.079855938,5.267459492,3.327150252,3.577162088,4.165958075,1.825267565,2.905028821,5.074515577,1.449343971,1.95570852,4.388794712,2.901405462,1.327961416,2.707555703,12.560377183,16.353129185,13.15732573,48384,216
2.606101627,9.366385407,4.634277345,5.490296127,6.140689234,1.941215082,5.294634692,4.878854139,3.318091853,1.881429641,2.216590436,5.92147596,5.745743002,4.098925916,3.164099057,1.071608699,1.016352462,3.850725761,7.453251365,6.928770019,5.746648841,2.288151793,5.669652443,2.685815543,48384,216
0.51814047,0.163051197,0.54712735,0.220119116,0.107794957,0.282622074,0.292586315,0.385887833,0.172109597,0.251823515,0.421215592,0.414874713,0.48734191,0.284433754,0.120476717,0.102359918,0.160333676,0.367771032,0.359618473,0.232800876,0.104171598,0.230083356,0.305268075,0.133158477,48384,216
0.00181168,0.01539928,0.0045292,0.031704399,0.02626936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090584,0.00181168,0.00090584,0,0,0,48384,216
1.25601746600006,1.23514708700006,0.166963047000073,0.461045687000066,0.274160912000069,0.0180244190000729,0.143246705000073,0.0284596110000694,0.00569192200007287,0.0237163420000798,8.328e-14,0.00094865400007981,0.0189730740000798,0.0104351900000763,0.0218190340000763,8.328e-14,8.328e-14,8.328e-14,0.00284596100007981,0.00284596100007981,0.00379461500007981,8.328e-14,0.15463054900008,0.149887281000076,48384,240
0.0635597960000694,0.0275109560000763,0.112889787000069,0.105300557000073,0.129965554000069,0.0578678750000659,0.102454598000066,0.383256086000073,0.240009380000066,0.0692517200000659,0.267520337000066,0.0645084500000694,0.421202233000069,0.157476511000073,0.0711490260000659,0.0360488400000659,0.0455353770000659,0.0749436410000659,0.0683030640000729,0.0540732590000729,0.150835935000073,0.0303569190000625,0.202063233000073,0.154630550000073,48384,240
0.422150885000055,0.190679387000052,0.327285518000049,0.232420151000049,0.186884775000049,0.295031293000056,0.316850329000056,0.252341877000056,0.102454597000056,0.314004367000056,0.714336218000056,0.122376324000052,0.127119593000052,0.065457103000059,0.0664057580000521,0.313055713000052,0.591959894000052,0.341515324000056,0.214395730000059,0.0787382540000555,0.0294082640000521,0.313055713000038,0.234317458000052,0.185936121000042,48384,240
5.06960524200004,4.22909808700003,5.36273923000005,4.62089205600003,4.41882882100003,6.37495270300005,4.41598286200005,4.21486828100004,6.61211611800003,2.90667486200006,4.17502482800005,3.86481507500006,3.20265480900005,5.86742298400004,5.73650877800002,3.23206307400006,2.56705684600006,3.61531915800006,2.83457718400005,6.21747619200004,6.63772976900003,3.83540681100006,3.64947069100005,3.17609250700005,48384,240
15.095925943,8.70105151600001,20.434948831,13.633101976,12.939636137,7.442188088,16.432578973,20.071614475,18.751088556,12.220556654,11.660850986,14.207037448,24.237152766,24.295020639,14.317081277,7.502901921,7.583537487,11.874298057,20.749901851,26.785236538,17.245575174,11.454993136,25.339488334,21.352296935,48384,240
