"","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","HAS_FIRE","Prob_fogo","HasFire_Predict"
"484",26.6099,60.84375,0.01928073,7.07375,86.40958572,37.50182394,249.3425688,"not-burned",0.124417819378837,"0"
"485",26.33021,54.54167,0.000124,10.77724,87.43631545,39.51164126,255.2860063,"not-burned",0.156106271272681,"0"
"486",25.73646,53.78646,0.001617094,14.30885,87.69197804,41.50998854,261.1225688,"burned",0.155704535462237,"0"
"487",24.06979,62.72917,0.2216812,14.62422,86.75714489,42.95162769,266.6591313,"not-burned",0.0805084623308307,"0"
"488",23.85781,62.89583,0.1304007,14.36672,86.91227942,44.37387778,272.1575375,"not-burned",0.0770352513273765,"0"
"489",23.84115,64.47917,0.5902048,11.93286,85.19835642,45.73416729,277.6529438,"not-burned",0.0632498961577258,"0"
"490",24.22344,55.81771,0,11.06927,86.71151412,47.45175957,283.2171625,"not-burned",0.0957450401764,"0"
"491",24.32969,61.64062,0.01882305,9.392604,86.7597859,48.94982734,288.8005063,"not-burned",0.0791926033005892,"1"
"492",24.88385,65.26042,0.175644,7.483125,86.77788502,50.3360316,294.4836,"not-burned",0.0755818653692811,"0"
"493",25.5125,60.5625,0.08697158,5.962917,86.89565384,51.94819204,300.27985,"not-burned",0.0979615179973431,"0"
"494",25.56563,60.19792,0.2841601,7.433906,86.94398641,53.57883431,306.0856625,"not-burned",0.102675103488638,"0"
"495",25.44063,59.35938,0.1220097,6.050104,87.03373009,55.23742136,311.868975,"not-burned",0.100720821982501,"0"
"496",25.71302,58.16667,0.05227366,5.393073,87.14962578,56.96098134,317.7013188,"not-burned",0.110785995561715,"0"
"497",26.19063,52.24479,0,7.699167,87.86703247,58.96203109,323.6196313,"burned",0.158219602006568,"0"
"498",25.22969,50.82292,0,11.83922,88.08503474,60.9496654,329.364975,"not-burned",0.150495818736861,"0"
"499",24.27656,52.31771,0,8.424687,88.13375999,62.80772285,334.9387563,"not-burned",0.104431924562816,"0"
"500",24.70938,50.98958,0,6.236354,88.19550236,64.75052928,340.5904438,"not-burned",0.112757189444461,"1"
"501",26.12865,52.1875,0.008277608,5.589688,88.38306526,66.75265802,346.4976,"not-burned",0.149821592901321,"0"
"502",25.90052,62.76042,0.7454383,5.948385,84.24221852,65.40530926,351.7296178,"not-burned",0.0975079045555871,"0"
"503",25.59063,69.72917,0.887405,8.099896,81.54529489,64.39128534,356.3525328,"not-burned",0.0787123292297541,"0"
"504",24.57031,70.72917,1.254568,8.674323,78.38118877,63.04822825,361.4620783,"not-burned",0.0576801619114987,"0"
"505",24.35729,70.14062,1.823682,7.6575,74.73397996,59.49200418,365.3834404,"not-burned",0.0498030529586094,"0"
"506",23.83281,74.22917,1.301739,5.486875,75.10122058,59.05268807,369.1199832,"not-burned",0.0393388203759672,"0"
"507",24.68698,70.43229,0.4046957,9.233802,80.16876537,60.22753328,374.7676394,"not-burned",0.0724031508133095,"0"
